on x=-8..36,y=-13..38,z=-30..18
on x=-21..27,y=-43..1,z=-28..20
on x=-43..8,y=-35..16,z=-21..29
on x=-14..33,y=1..46,z=-33..20
on x=-20..24,y=-32..18,z=-44..3
on x=-31..13,y=-24..24,z=-13..41
on x=-34..17,y=-24..25,z=-32..21
on x=-21..29,y=-40..14,z=-34..19
on x=-11..41,y=-46..3,z=-22..25
on x=-13..41,y=-20..32,z=-26..21
off x=34..48,y=-8..6,z=-47..-32
on x=-36..16,y=-25..29,z=-42..10
off x=-27..-10,y=20..38,z=-32..-15
on x=-43..7,y=-3..46,z=-13..41
off x=-21..-10,y=-5..7,z=-34..-24
on x=-47..2,y=-26..19,z=-30..19
off x=2..18,y=39..48,z=34..49
on x=-29..21,y=-28..19,z=-14..39
off x=-12..1,y=-15..-6,z=-12..5
on x=-33..11,y=-5..40,z=-19..34
on x=4839..37119,y=-77870..-65928,z=-31721..6883
on x=-65074..-45532,y=-76161..-55995,z=18422..28809
on x=-19046..7513,y=65962..85040,z=-50719..-38025
on x=31203..42162,y=42926..64021,z=25628..44570
on x=-23080..-9369,y=20501..49221,z=70364..78911
on x=11385..44807,y=56888..76379,z=2197..23866
on x=17447..25479,y=-59366..-48603,z=-63221..-43855
on x=34953..56079,y=-72829..-39611,z=24187..47582
on x=3553..21317,y=-69977..-55642,z=38791..44119
on x=-57043..-43446,y=-62985..-45094,z=-46766..-23033
on x=-66953..-46125,y=7548..20111,z=36275..67691
on x=48156..52160,y=-57159..-48177,z=-27750..-17451
on x=-8199..9720,y=-71971..-52302,z=33698..55920
on x=-26740..-21116,y=-47606..-32902,z=-83414..-51593
on x=35163..49358,y=-57959..-36064,z=29918..57157
on x=-7610..15882,y=31069..43205,z=50534..76280
on x=-38397..-8880,y=50925..60954,z=38695..68136
on x=-22971..3262,y=63662..94550,z=-23890..-3669
on x=56919..85184,y=-24246..-10978,z=-45500..-14062
on x=70576..93606,y=-3591..16458,z=12386..39202
on x=-40810..-32824,y=46441..70619,z=-50354..-41110
on x=-44090..-21796,y=-49222..-29203,z=-78625..-53659
on x=4179..22689,y=62208..95078,z=-32906..-2773
on x=41435..58226,y=-69091..-52534,z=11220..22466
on x=44027..56489,y=-61228..-40839,z=24716..49802
on x=58856..89381,y=-24787..-6210,z=-38387..-21495
on x=31249..66391,y=-338..29577,z=-73616..-43844
on x=-69236..-35435,y=-56932..-41334,z=10510..37433
on x=-30489..7293,y=23785..50236,z=-75453..-69050
on x=-44614..-24138,y=-14044..4035,z=-80479..-57806
on x=75190..96327,y=-32..21796,z=-19982..654
on x=-57769..-43737,y=-43364..-27692,z=26689..48069
on x=-33705..-1437,y=-50304..-33797,z=-65845..-40680
on x=-78406..-40654,y=42549..59337,z=-28001..-11767
on x=63318..88223,y=-16500..-422,z=7937..12185
on x=-86159..-71499,y=10841..35268,z=-23323..5521
on x=-69927..-48219,y=-54626..-22479,z=-44943..-15579
on x=-43768..-13251,y=-64205..-52022,z=-49650..-31322
on x=-66574..-54884,y=17683..44711,z=31164..56138
on x=72035..82108,y=-3813..10230,z=-2284..15893
on x=37334..58441,y=51079..61499,z=18464..27016
on x=-32585..-16545,y=55965..89671,z=8302..34498
on x=-26529..3377,y=-29123..-20453,z=56842..83561
on x=32146..54092,y=-35416..-9066,z=51048..69716
on x=-25194..7525,y=-78242..-62921,z=-50241..-35907
on x=51949..62077,y=39590..56347,z=-31891..-19806
on x=2190..18191,y=-26549..-4898,z=68835..81165
on x=37501..59670,y=-54043..-24397,z=18589..44711
on x=53124..84011,y=-37865..-20884,z=12749..28642
on x=11469..29443,y=-87115..-71637,z=16152..46608
on x=-11034..2944,y=3487..21169,z=74689..82882
on x=19100..25746,y=-61128..-36379,z=43441..71029
on x=5600..38744,y=-7945..6683,z=66027..94407
on x=68461..75284,y=8717..26700,z=15336..51188
on x=-61283..-47763,y=2607..39967,z=37842..70865
on x=-45729..-24681,y=-21605..549,z=63515..88818
on x=25798..44610,y=47822..73500,z=-60521..-23985
on x=-95305..-75665,y=-26118..-5350,z=-12906..15434
on x=33757..57435,y=42302..67655,z=-54184..-23134
on x=2994..22115,y=-88253..-58648,z=28386..48449
on x=-62548..-49059,y=-15737..4824,z=41511..53585
on x=67083..78970,y=4211..28190,z=-48739..-19705
on x=-78667..-54791,y=-46045..-26836,z=24727..53046
on x=54721..85885,y=-8372..21818,z=29648..43363
on x=69627..90635,y=-20694..-18387,z=7933..32742
on x=-65893..-37568,y=-11991..15161,z=-65829..-60748
on x=-57395..-46236,y=-2048..13172,z=-70802..-56233
on x=-22043..3715,y=57559..88108,z=-45280..-34414
on x=-74828..-53038,y=46478..58430,z=-19255..10363
on x=13806..37110,y=33798..59217,z=-64375..-61548
on x=61..4442,y=-14980..13830,z=-81808..-73388
on x=-44428..-22458,y=-30625..-10622,z=-66261..-46437
on x=61389..79075,y=-55043..-35044,z=-31620..-5849
on x=1257..22335,y=-92002..-65926,z=23483..35032
on x=-66071..-40860,y=-871..30120,z=47036..74284
on x=18446..32639,y=-16466..3221,z=-89695..-56843
on x=-4829..18965,y=-25609..-3292,z=-83328..-71836
on x=-51528..-12497,y=-36433..-10612,z=67126..82588
on x=-56346..-40152,y=3846..23474,z=44670..66145
on x=-31862..-23691,y=-90559..-67842,z=-35278..-9721
on x=-82636..-55468,y=7393..29473,z=20855..53140
on x=-23503..-10904,y=-71671..-43413,z=39526..74530
on x=-24286..-10051,y=42535..69016,z=47293..59326
on x=27107..36075,y=-68197..-63740,z=-38325..-23137
on x=49700..61611,y=-63668..-46517,z=-32392..-27815
on x=8270..28696,y=50213..72279,z=-43392..-25307
on x=39641..61962,y=-20666..-417,z=-81881..-48826
on x=12571..33176,y=-14528..8290,z=-89384..-70716
on x=-43871..-13117,y=-39900..-7197,z=59502..90659
on x=-36035..-2433,y=65658..84996,z=-33491..-14374
on x=63543..80825,y=-6748..-2651,z=-58258..-19329
on x=28713..46264,y=3886..14439,z=-90710..-60973
on x=-22187..2425,y=54328..74307,z=28523..62729
on x=-44284..-19454,y=-77265..-62483,z=-24166..4845
on x=-3490..10486,y=-85697..-76511,z=5917..20496
on x=-24962..2419,y=11207..27000,z=61253..96386
on x=52442..59482,y=-41524..-22315,z=-68202..-48780
on x=-34407..5096,y=-92571..-67584,z=-35286..-2042
on x=11100..17929,y=-19300..4676,z=58434..88671
on x=60823..86913,y=-1593..13586,z=-3558..26423
on x=-54273..-37709,y=28937..38483,z=-62444..-46473
on x=-3663..6115,y=-67350..-58585,z=-59265..-39858
on x=-33708..-26120,y=62411..80951,z=-50679..-28890
on x=54088..78257,y=-30377..5547,z=-54962..-42452
on x=-51040..-15145,y=-75083..-71823,z=-7664..22918
on x=-48121..-39943,y=59649..86399,z=-19305..14422
on x=19442..39564,y=65372..89430,z=-9881..23180
on x=-5638..-504,y=51726..81303,z=34865..52668
on x=51177..68510,y=-55462..-49393,z=-1676..34025
on x=-39225..-13934,y=-44638..-21274,z=-69663..-61721
on x=-34256..-22300,y=-79410..-50706,z=18119..42580
on x=28326..43362,y=-65829..-50909,z=-58284..-26939
on x=-60717..-46351,y=16976..39679,z=-47682..-36099
on x=-8972..-1099,y=-52473..-25319,z=-86121..-52942
on x=-61000..-39159,y=49997..78225,z=-23148..1003
on x=58182..82981,y=44518..56895,z=3777..5095
on x=6734..28162,y=-86696..-58568,z=-24484..-2036
on x=58887..76977,y=-39238..-25941,z=39846..46017
on x=24847..30203,y=-67085..-34859,z=41924..66616
on x=20441..43585,y=-92938..-64316,z=-31009..-1794
on x=-80785..-61417,y=-38919..-35032,z=-36530..-28271
on x=59377..75712,y=43560..68823,z=-22599..-1614
on x=-1700..13850,y=-4069..2130,z=63749..86953
on x=-4952..16715,y=41882..73610,z=-54756..-52305
on x=51595..59284,y=-24107..-4393,z=-72363..-43891
on x=-27807..-3926,y=26851..45198,z=49346..82929
on x=12390..34498,y=63224..91240,z=-5214..800
on x=10873..42647,y=-46607..-10385,z=65246..87490
on x=-62055..-38470,y=-21876..173,z=-62808..-40393
on x=20224..48752,y=-38586..-16511,z=-85733..-52651
on x=55784..81552,y=-5619..16327,z=34077..51185
on x=-3455..10014,y=-85026..-65575,z=-26623..-11858
on x=-35708..-27267,y=-45850..-19818,z=-67455..-45823
on x=41827..53199,y=41230..65698,z=27015..50197
on x=-6012..4252,y=-72302..-66695,z=36125..47997
on x=49528..64452,y=-58166..-30694,z=-13199..4956
on x=9888..29239,y=-68554..-54138,z=18724..56782
on x=-68870..-53794,y=-58759..-22882,z=7742..40403
on x=6972..17377,y=-20708..-6722,z=-82963..-69421
on x=20367..25651,y=58345..91004,z=-20550..10387
on x=25694..35176,y=22099..43134,z=-70032..-63879
on x=-45952..-11194,y=-81779..-67800,z=8182..23824
on x=62509..80195,y=-21937..-2975,z=5609..20751
on x=-24032..-6383,y=24506..45121,z=59690..78556
on x=-51599..-38434,y=30719..51414,z=36050..73737
on x=58822..68897,y=7741..15890,z=-51938..-32193
on x=-15039..6906,y=-65212..-41797,z=30699..55624
on x=60817..85926,y=27886..55706,z=-8663..11830
on x=15206..34437,y=30959..54489,z=57564..71609
on x=35392..53432,y=22100..27886,z=-71711..-46618
on x=-63155..-33316,y=2506..33937,z=53928..70435
on x=39063..66505,y=25641..56117,z=-52530..-39376
on x=-25070..-14807,y=-94850..-59369,z=-15595..12932
on x=-83108..-73279,y=-39576..-1760,z=-6745..24559
on x=-18659..1714,y=65445..79434,z=39458..61966
on x=-73934..-43865,y=-53154..-30276,z=-31417..-14432
on x=8399..36820,y=-5066..-746,z=62811..89658
on x=51461..58467,y=21289..47244,z=-48496..-34141
on x=-31677..-15125,y=65258..94618,z=-11983..21397
on x=-59850..-45075,y=46471..73073,z=33142..52196
on x=-38957..-29818,y=40316..50247,z=45129..64145
on x=-17719..3143,y=-99029..-70583,z=-15275..-3260
on x=-20122..-5655,y=-68173..-47607,z=27797..47630
on x=-77283..-55700,y=852..31360,z=32087..48207
on x=28846..48388,y=63096..85300,z=-30595..-3844
on x=-82363..-49209,y=-51315..-42669,z=-5472..13974
on x=-33522..-24893,y=54281..60638,z=-48809..-29636
on x=-72223..-48831,y=-46560..-25806,z=36517..53330
on x=-49478..-43471,y=-11706..10889,z=-80068..-54930
on x=-55073..-36710,y=66679..68786,z=-21283..-7896
on x=23706..37729,y=15047..43923,z=-72897..-65979
on x=17181..28459,y=62283..83521,z=-31363..-8226
on x=-16143..9900,y=27489..59106,z=59096..76947
on x=3206..10671,y=-14400..10991,z=-95245..-69938
on x=56347..81552,y=-25300..-8107,z=19105..50434
on x=-78103..-66259,y=-37451..-32307,z=-33713..-2616
on x=30350..59481,y=29541..51913,z=39794..66802
on x=-6369..27626,y=29467..54642,z=-87761..-63038
on x=-75910..-44075,y=8881..33348,z=39378..53195
on x=-93870..-77120,y=-4549..11366,z=10630..21270
on x=63828..86196,y=7557..26186,z=-31651..-14082
on x=-45560..-23421,y=-57108..-50195,z=-46356..-35654
on x=27703..38747,y=-64773..-61912,z=-50641..-19460
on x=-30255..-26778,y=-36213..-16183,z=-72571..-68332
on x=74470..78456,y=-25411..13731,z=9282..44191
on x=60166..74998,y=-59027..-34355,z=23594..36628
