LRRRLRRLLLRRRLRLRRLRRRLRLRRRLLLRRLRRLRRRLRRRLRLLRLRRLRRLLRRLRLRRRLRRLRRLRRLLRRRLRLRLRLRLLRRLLLRRLRLRRLRLLLLRRLRRRLRRLRRRLLRRRLRRLRRRLRLLRLRRLRRLLRRRLLLRLRRRLLLRRLLRRRLLRRLRRLRRLRLRRRLLRRRLRLLRLRRLLRLRRLRLLRLRRLRRRLLRRLLRRRLRRLRLRLRRRLRLRRRLRRRLRRLRRRLRLLRRRLLRRRR

FLR = (SXT, CRV)
VGG = (FBP, THJ)
VSK = (TBN, GJB)
XMP = (PSF, QLH)
KHT = (JPM, BLF)
KMD = (TPH, JHR)
TTD = (RVT, MJX)
VKS = (DRS, QJV)
SFR = (GFR, XPS)
MVD = (RLP, VRP)
RJF = (TBK, FMB)
HFD = (JRL, QKG)
LVV = (PDP, SCV)
JRH = (GLG, LTF)
PVQ = (VRC, SHR)
GXN = (PXL, LFT)
NGT = (LFX, TNX)
MTF = (KLC, GXN)
DGS = (NNC, NGB)
SVK = (GXN, KLC)
TJD = (NFP, LJM)
CNM = (JQD, DVR)
XBM = (PHK, LCH)
MJD = (KLH, CQH)
LDQ = (PBC, RXJ)
BSF = (DTN, FNF)
SXX = (CFM, DCK)
LFL = (PRH, LJC)
RMT = (DLM, PGT)
VDK = (LLP, HRP)
CMB = (CFX, VRV)
LPC = (QXS, LHN)
QSL = (SNC, BSK)
XCV = (FXR, RVX)
KMF = (VMP, NVR)
VBM = (HFD, HFD)
SLN = (QLM, FMX)
SRD = (DKM, DPT)
SCN = (DGC, NNT)
MQD = (RFS, FBN)
KJX = (HNQ, TFD)
SDL = (GMG, QVG)
RDM = (NFS, KBG)
FCN = (CBM, FLR)
FCF = (LXM, LHJ)
NPR = (DCL, RPR)
CFX = (CKQ, CLR)
XLF = (MLJ, JCX)
RNK = (GML, MXK)
BNQ = (QJQ, NNQ)
KTF = (CLD, MFT)
LFV = (GFN, GFN)
TBK = (SRD, LCB)
JFS = (FPR, RMR)
DDV = (MXH, GQL)
VTK = (TGV, KJD)
XFQ = (QLM, FMX)
LFX = (TNR, DHR)
FJN = (DRD, MNV)
CMS = (GSK, FGT)
GLN = (LBM, LPJ)
VRC = (NXG, GXQ)
DXR = (GMR, KRJ)
QCX = (CNJ, NGT)
DKM = (LCR, HMK)
QNV = (XVH, NTQ)
ZZZ = (SJH, LBH)
SSG = (FLB, FTT)
JJC = (VGG, QFQ)
GBJ = (VNV, VPT)
NSF = (DMF, KQH)
GTL = (BKD, CFQ)
JMQ = (RXK, BMJ)
FNK = (QNN, JCR)
SGC = (LPC, VHP)
HFP = (VTD, CNL)
HNQ = (FPF, BBS)
JHH = (MDT, TRH)
XXS = (PSG, DRP)
KMC = (BRR, FTJ)
LCB = (DPT, DKM)
QXC = (VGL, PLT)
RLP = (JNB, TGL)
MMK = (HDV, XMP)
HMK = (CTP, TGK)
PQR = (FDC, VNX)
PQN = (BKT, XDX)
SMQ = (BBT, MGM)
TGK = (NND, JGM)
QNQ = (GML, MXK)
JBG = (MDT, TRH)
MLJ = (HFV, XPP)
STB = (QXR, SCN)
LQL = (NCV, NVX)
BGT = (GGT, MKM)
DLM = (JFS, JMN)
KNP = (KQH, DMF)
XDT = (PCS, MHT)
GFR = (GLP, KPP)
PHF = (FCF, NLH)
RFH = (KSC, QRN)
KBG = (SQT, CRH)
RQJ = (VXF, SDQ)
MDT = (RSL, RSL)
KRK = (BKN, RJR)
BMK = (SGN, TTC)
TVQ = (LDC, JRP)
TTH = (NVH, RJF)
VDJ = (HCM, GHQ)
RVX = (JKT, QMK)
MRK = (DQF, BSL)
QSH = (RJR, BKN)
DLB = (PTM, CBH)
JML = (JPL, FHX)
FRK = (CMF, TVQ)
DRP = (PKD, TJD)
NDC = (FCK, BKK)
PCD = (VBM, MBD)
LXN = (FCX, FLM)
SCV = (QXJ, BSF)
NJM = (MNF, QHM)
CHX = (VNV, VPT)
XJC = (CXR, SGJ)
NRR = (PHQ, PVN)
TMN = (PQS, XHL)
PSG = (PKD, TJD)
GHV = (QHB, CDM)
XPV = (BNG, KHF)
HJF = (HSJ, QQT)
NVR = (DGS, JTZ)
BVV = (SSG, KRB)
LQG = (TNQ, FRM)
GMG = (XHX, MRK)
DBD = (SFR, GVF)
TTC = (DBD, GPK)
JFR = (MJB, GSV)
PDF = (BJJ, DSX)
DMF = (JDD, PVS)
NSJ = (NXV, DVS)
XHX = (BSL, DQF)
PHS = (NLV, SHG)
FNL = (KDB, NCN)
PMS = (BNK, QPG)
JDD = (DDB, HJF)
FMH = (JMK, STT)
HBP = (GDC, JJG)
JCR = (GHS, XBM)
RGV = (KNM, BTG)
PQC = (SKV, LQL)
TPG = (BRK, KJX)
BNJ = (DVS, NXV)
FGL = (SVK, MTF)
JNB = (PKM, SXB)
TXQ = (HRL, NJN)
LFB = (DQV, XHD)
SNC = (BKP, XDT)
LBK = (LPP, XCT)
JPL = (KMC, SRL)
GVS = (JHG, HPG)
QSF = (PVN, PHQ)
RPR = (FFH, FNS)
VLN = (RNJ, BFQ)
TLX = (PHF, PTJ)
QBN = (KNP, NSF)
BCH = (JCX, MLJ)
HPB = (MCN, TMN)
GQH = (MTF, SVK)
FMX = (PTC, DGD)
RGK = (RVT, MJX)
VTN = (HLN, GKV)
HTM = (JBC, NMR)
FBP = (KXM, MQL)
CLM = (HTM, QVS)
TLJ = (XRB, DXM)
NTH = (STT, JMK)
NGB = (XTC, PQN)
XHS = (XFX, DGB)
VBB = (VFQ, MVD)
RXH = (KBQ, HGL)
PCS = (RRH, MBP)
BNG = (PJQ, SBX)
XVH = (DFC, RTT)
GMC = (KJX, BRK)
LXD = (KKP, DLF)
GNB = (SCP, RFM)
BRK = (TFD, HNQ)
PQS = (SMQ, FGF)
LKN = (SCN, QXR)
HPV = (KKH, PMS)
GHQ = (VBB, RCB)
FJF = (CXR, SGJ)
GVF = (GFR, XPS)
DCK = (JMP, XCV)
PKM = (HRR, HJL)
TGJ = (CJF, NSR)
NNQ = (BVV, FLD)
JRP = (SLN, XFQ)
CJT = (CVN, LFB)
HLG = (TCH, LTD)
FNX = (RMT, NGD)
QXR = (NNT, DGC)
BRR = (SQF, XHS)
XXB = (TGV, KJD)
FDC = (LDQ, GGD)
XGP = (NJH, VJM)
FTT = (MXV, DPG)
LPP = (LFJ, QJP)
BJL = (GTK, MJJ)
FNS = (KMD, TSC)
LHJ = (MJD, VCP)
HFV = (STB, LKN)
TPR = (QNN, JCR)
RVT = (DFN, NQL)
LVB = (FQT, KHM)
VCL = (LQQ, DTB)
GXQ = (TGJ, XDD)
GSX = (VTM, GPQ)
PTM = (STQ, SVD)
NFS = (CRH, SQT)
XFX = (RXH, TFB)
QLH = (DVK, XRH)
MJB = (HHV, HFP)
QQB = (TMN, MCN)
BKN = (FNX, FMQ)
RKP = (HPT, SDL)
CKD = (TTD, RGK)
QKX = (GKP, TKQ)
HFR = (DSM, MQD)
DMC = (NMD, RFR)
XPS = (GLP, KPP)
CLZ = (TKJ, FMR)
KDB = (XTN, GVS)
BPQ = (BMK, MNL)
PXL = (VCL, QVT)
SQT = (GHH, SNV)
FBN = (HKK, DXR)
SRN = (KLQ, LQC)
KXD = (QJQ, NNQ)
HLN = (NSJ, BNJ)
KQH = (JDD, PVS)
BKB = (KHT, PVC)
RNJ = (QNV, GRM)
BDQ = (BNT, TLJ)
NRQ = (CMB, HLJ)
SMG = (CNJ, NGT)
MKM = (HNP, SJN)
MCL = (RDS, HXK)
QJQ = (BVV, FLD)
XSH = (KLV, NHL)
NXK = (RJF, NVH)
TGV = (LPT, JSX)
XDV = (LJS, PPL)
KVS = (BDS, LFL)
VXB = (QFQ, VGG)
SCP = (LTB, SJQ)
FGH = (NMD, RFR)
RJH = (MCR, MMP)
VMP = (DGS, DGS)
DQS = (GMP, TBV)
FPL = (LCL, TFF)
XXT = (VMC, QPR)
QHM = (JSD, DDL)
BSL = (NXK, TTH)
PRH = (JHX, RHL)
FHX = (KMC, SRL)
SGK = (RQJ, QKL)
NGD = (DLM, PGT)
PVN = (BXC, LXD)
SJN = (GJD, XRV)
KFV = (XNG, FTZ)
JRL = (XDM, TLX)
RSM = (TCS, MMH)
CJF = (BDB, GDR)
XRB = (FQP, GSX)
CBH = (SVD, STQ)
BNT = (XRB, DXM)
BCQ = (LSF, VDJ)
VHG = (HTK, MFH)
DCG = (KKH, KKH)
TDH = (LMN, ZZZ)
TFF = (XHP, LQK)
TRH = (RSL, JDM)
MCR = (GCK, XLT)
KCB = (CMF, TVQ)
HMV = (FCK, BKK)
LQC = (CHN, FQJ)
SNT = (NRQ, SXL)
HXP = (FRK, KCB)
SKV = (NCV, NVX)
TBV = (XKQ, HCL)
XTN = (JHG, HPG)
SCK = (SDL, HPT)
KHM = (HMP, SPQ)
KDT = (GSK, FGT)
GKZ = (VTN, QMF)
TPH = (XXP, CKD)
PFQ = (THX, SNX)
GCJ = (VGL, PLT)
MNF = (DDL, JSD)
BDS = (LJC, PRH)
KJD = (LPT, JSX)
PRV = (MBC, NPR)
KTD = (FXV, PFQ)
NVH = (FMB, TBK)
MJX = (NQL, DFN)
MBV = (CFQ, BKD)
LBM = (SFN, XDV)
FXR = (QMK, JKT)
CHN = (GBJ, CHX)
